ALAND10	AWATER10	CD12_DEM	CD12_REP	CD_2000	CD_BD	CD_FV	CD_NOW	COUNTYFP10	COUNTY_NAM	CTYFP_FUL	FUNCSTAT10	GEOID10	INTPTLAT10	INTPTLON10	LSAD10	MTFCC10	NAME10	NAMELSAD10	POPULATION	POP_ASIAN	POP_BLACK	POP_HAWAII	POP_HISPAN	POP_INDIAN	POP_MULTI	POP_OTHER	POP_TOTAL	POP_WHITE	PRES04_DEM	PRES04_REP	PRES08_DEM	PRES08_REP	PRES12_D50	PRES12_DEM	PRES12_R50	PRES12_REP	SLDL_BD	SLDL_NOW	SLDU_BD	SLDU_NOW	STATEFP10	VAP_ASIAN	VAP_BLACK	VAP_HAWAII	VAP_HISPAN	VAP_INDIAN	VAP_MULTI	VAP_OTHER	VAP_TOT	VAP_TOTAL	VAP_WHITE	VTDI10	VTDNAME	VTDST10
3785711	18585	1009.2253319007242	424.94568637169556	7	4	2	7	17	Middlesex County	25017	N	250173006	42.407607	-71.1918681	0	G5240	Belmont Precinct 2	Belmont Precinct 2	3069.0	3172.0	247.0	0.0	910.0	13.0	832.0	91.0	39897.0	34632.0	1153.95268	706.2461075	1211.0	656.0	1153.957170876317	1199.281476	814.8561669164875	782.8508287	57	0	1	0	25	2132.0	130.0	0.0	637.0	0.0	299.0	13.0	2414.727426592641	28795.0	25584.0	A	Belmont Precinct 2	3006
2657974	488347	1034.5463975756527	435.6074061014514	5	0	3	5	17	Middlesex County	25017	N	250173083	42.6875136	-71.3604118	0	G5240	Dracut Precinct 5	Dracut Precinct 5	3146.0	1092.0	442.0	0.0	1157.0	26.0	351.0	65.0	40898.0	37765.0	699.7195122	733.5901977	724.0	801.0	670.0892498977046	696.4085366	920.5101651575701	884.3550247	22	0	35	0	25	728.0	312.0	0.0	689.0	13.0	182.0	52.0	2475.311985682779	30849.0	28873.0	A	Dracut Precinct 5	3083
3950317	195430	1033.2310175405914	435.05355053107445	5	1	3	5	17	Middlesex County	25017	N	250173087	42.6896715	-71.3378135	0	G5240	Dracut Precinct 9	Dracut Precinct 9	3142.0	1495.0	858.0	0.0	1443.0	0.0	429.0	52.0	40846.0	36569.0	777.0365854	750.9912136	804.0	820.0	744.1322609228348	773.3597561	942.344988026755	905.332235	22	0	35	0	25	1066.0	572.0	0.0	884.0	0.0	182.0	39.0	2472.164735859915	31031.0	28288.0	A	Dracut Precinct 9	3087
291387	0	832.6355621937548	350.5905760485934	7	5	2	7	17	Middlesex County	25017	N	250173101	42.4148774	-71.059606	0	G5240	Everett Ward 5 Precinct 1	Everett Ward 5 Precinct 1	2532.0	1313.0	4446.0	0.0	5967.0	65.0	793.0	1274.0	32916.0	19058.0	583.4974814	247.9166667	558.0	255.0	605.8768255154891	629.6740225	230.0992688497106	221.0615942	38	0	15	0	25	1027.0	3224.0	0.0	4108.0	39.0	533.0	871.0	1992.2091378731077	25480.0	15678.0	A	Everett Ward 5 Precinct 1	3101
10657161	53055	1225.9341926770608	516.1933915912939	7	0	3	7	17	Middlesex County	25017	N	250173107	42.3417684	-71.4523469	0	G5240	Framingham Precinct 1	Framingham Precinct 1	3728.0	2431.0	1781.0	13.0	1586.0	65.0	819.0	1131.0	48464.0	40638.0	1296.862941	747.584121	1342.0	749.0	1339.056269745354	1391.650765	826.9660967880571	794.4851134	142	0	0	0	25	1911.0	1443.0	13.0	1092.0	26.0	416.0	767.0	2933.236834909536	38545.0	32877.0	A	Framingham Precinct 1	3107
9931820	168629	1123.3345499422853	472.99265710189377	3	0	3	3	17	Middlesex County	25017	N	250173129	42.2208454	-71.4481975	0	G5240	Holliston Precinct 2	Holliston Precinct 2	3416.0	910.0	429.0	0.0	598.0	117.0	325.0	234.0	44408.0	41795.0	1191.488406	770.3979497	1259.0	807.0	1163.01217201252	1208.692133	916.1895386782977	880.2041007	73	0	18	0	25	624.0	351.0	0.0	338.0	65.0	130.0	130.0	2687.75134872612	32643.0	31005.0	A	Holliston Precinct 2	3129
10735014	134648	1114.7845797143875	469.3925958944438	3	0	3	3	17	Middlesex County	25017	N	250173130	42.2139488	-71.4163496	0	G5240	Holliston Precinct 3	Holliston Precinct 3	3390.0	1495.0	559.0	26.0	1066.0	13.0	442.0	403.0	44070.0	40066.0	1123.349275	654.8859894	1187.0	686.0	1096.5015468194276	1139.569151	778.8178729599329	748.2280211	73	0	18	0	25	1040.0	442.0	26.0	702.0	13.0	221.0	273.0	2667.294224877502	33137.0	30420.0	A	Holliston Precinct 3	3130
11181281	606674	1069.7328135135406	450.4230426090341	3	0	3	3	17	Middlesex County	25017	N	250173131	42.1816139	-71.4368584	0	G5240	Holliston Precinct 4	Holliston Precinct 4	3253.0	754.0	260.0	0.0	611.0	13.0	598.0	104.0	42289.0	39949.0	1061.834783	742.713265	1122.0	778.0	1036.457233451388	1077.16646	883.265750972594	848.57347	73	0	18	0	25	507.0	182.0	0.0	286.0	13.0	247.0	91.0	2559.5009184443993	30953.0	29627.0	A	Holliston Precinct 4	3131
16071342	172271	1182.8554965288058	498.05462166144963	3	0	3	3	17	Middlesex County	25017	N	250173132	42.2267405	-71.4914525	0	G5240	Hopkinton Precinct 1	Hopkinton Precinct 1	3597.0	1300.0	247.0	0.0	663.0	0.0	286.0	130.0	46761.0	44135.0	1006.834343	829.5417	1151.0	866.0	1046.096889913503	1087.184736	1041.4310984641909	1000.526512	73	0	18	0	25	832.0	169.0	0.0	520.0	0.0	104.0	52.0	2830.16440321073	31018.0	29341.0	A	Hopkinton Precinct 1	3132
17242444	954261	1216.7265324316322	512.3164025986555	3	0	3	3	17	Middlesex County	25017	N	250173134	42.2124148	-71.5441209	0	G5240	Hopkinton Precinct 3	Hopkinton Precinct 3	3700.0	1794.0	390.0	0.0	910.0	13.0	559.0	104.0	48100.0	44330.0	1022.579798	951.195044	1169.0	993.0	1062.4563545521303	1104.186756	1194.1582920321564	1147.254996	104	0	18	0	25	1105.0	338.0	0.0	468.0	13.0	156.0	91.0	2911.206086149486	33176.0	31005.0	A	Hopkinton Precinct 3	3134
